Date,Town,lat,lon,Description
1487,Faro,-7.92716,37.01869,The country's first printed book was the Hebrew Pentateuch the Faro Pentateuch published by the Jew Samuel Gacon in southern Portugal after having fled from the Spanish Inquisition.
1488,Chaves,-7.46879,41.74019,According to the German scholar Horch the Sacramental is the first book printed in Portuguese and not Ludolphus de Saxonia's Livro de Vita Christi of 1495 as previously assumed.
1489,Lisbon,-9.15,38.725278,Eliezer Toledano's Hebrew press was active with his foreman Judah Gedalia from 1489 until the expulsion in 1497
1492,Leiria,-8.80705,39.74362,
1494,Braga,-8.42005,41.55032,
1536,Coimbra,-8.41955,40.20564,
1571,Viseu,-7.916667,40.666667,
1583,Angra do Heroísmo Azores,-27.219444,38.655556,
1622,Porto,-6.89934,42.16737,
1494,Senj,14.903044,44.990144,Blaž Baromić with his co-workers established printing house in Senj based on glagolitic script. Their first work was the Breviary of Senj.
1530,Rijeka,14.44241,45.32673,
1493–94,Cetinje,18.91417,42.39063,Đurađ IV Crnojević used the printing press brought to Cetinje by his father Ivan I Crnojević to print the first books in southeastern Europe in 1493. The Crnojević printing press operated from 1493 through 1496 turning out religious books of which five have been preserved: Oktoih prvoglasnik Oktoih petoglasnik Psaltir Molitvenik and Četvorojevanđelje (the first Bible in Serbian language). Đurađ managed the printing of the books wrote prefaces and afterwords and developed sophisticated tables of Psalms with the lunar calendar. The books from the Crnojević press were printed in two colors red and black and were richly ornamented. They served as models for many of the subsequent books printed in Cyrillic.
1537,village Vrutci of Rujno Župa near Užice,,,The Rujan Four Gospels of the Rujno Monastery printing house
1552,Belgrade,20.456944,44.817778,Četvorojevanđelje Serbulje
1507 (the earliest surviving item is dated 4 April 1508),Edinburgh,-3.19648,55.95206,William Elphinstone the Bishop of Aberdeen was anxious to get a breviary published (see Aberdeen Breviary) and petitioned King James IV to have a printing press set up. Myllar had previously been involved with printing in France where Scots authors had traditionally had their books printed (see Auld Alliance). The earliest works were mainly small books (approximately 15 cm) but at least one book was printed in folio format Blind Harry's The Wallace.
1552,St Andrews,-2.7955,56.3404,
1571,Stirling,-3.9369,56.1166,
1622,Aberdeen,-2.11,57.15,
1638,Glasgow,-4.25,55.861111,
1651,Leith,-3.17,55.98,
1685,Campbeltown,-5.60764,55.42583,
1694,Maybole,-4.68026,55.35503,
1508,Târgoviște,25.457222,44.924444,Macarie is brought into Wallachia by the prince Radu cel Mare. The first printed book in Romania is made in 1508 Liturghierul. Octoihul is also printed in 1510 and Evangheliarul is printed in 1512
1534,Brașov,25.616667,45.666667,At the time the city was a part of the Eastern Hungarian Kingdom.
1545,Târgoviște,25.616667,45.666667,Mostly religious books are printed among them being Molitvenik. Books printed in Wallachia were also reprinted for use in Moldavia which at the time did not have its own press.
1550,Klausenburg (Cluj-Napoca),23.583333,46.766667,At the time the city was a part of the Eastern Hungarian Kingdom.
1561,Brașov,25.616667,45.666667,Întrebare creştinească (Catehismul)
1515,Saloniki,22.935556,40.640278,
1817,Corfu,19.92016,39.62441,
1522,Vilnius,25.2798,54.68916,The Little Traveller’s Book
1553,Brest,-4.48628,48.39029,Catechism
mid-16th century,Trondheim,10.39506,63.43049,
1644,Oslo,10.74609,59.91273,
ca. 1530,Holar,-19.116667,65.733333,Press imported on the initiative of Bishop Jon Arason. First known local print is the Latin songbook Breviarium Holense of 1534.
1551,Dublin,-6.24889,53.33306,The first book printed was the Book of Common Prayer.
1553−54,Moscow,37.6175,55.750556,According to recent research the Gospel Book and six others published then.
1564,Moscow,37.6175,55.750556,Acts of the Apostles (Apostol) is the first dated book printed in Russia.
1711,Saint Petersburg,30.31413,59.93863,
1815,Astrakhan,48.04076,46.34968,
1588,Riga,24.10589,56.946,
1574,Lviv,24.02324,49.83826,Apostol (the Acts and Epistles in Slavonic)
1593,Lviv,24.02324,49.83826,
1587,Llandudno,-3.83148,53.32498,"Y Drych Cristianogawl (""The Christian Mirror""). Printed covertly in a cave on the Little Orme."
1632,Tartu,26.72509,58.38062,PostOrdnung (28.09.1632) was the first document printed in Tartu with date and printer's name. The printing press operated in connection with Tartu University (Academia Gustaviana) that was opened on the same year. The reverse side of the document contains a resolution of Johan Skytte about Academia Gustaviana.
1642,Turku,22.26869,60.45148,The print shop was set up at The Royal Academy of Turku which was the first university (created in 1640) in what is now Finland.
1709,Tbilisi,44.83368,41.69411,Established by the decree of Vakhtang VI in Abanotubani Tbilisi
1771,Vagharshapat,44.29462,40.16557,The first published book in Etchmiadzin was titled Սաղմոսարան (Psalms). The printing house was St. Grigor Lusavorich.
1860,Godthaab,-51.736111,64.176667,
